States,DAY,MONTH,YEAR,DAY_WEEK,LATITUDE,LONGITUD,Weather,ARR_HOUR,ARR_MIN,DRUNK_DR,EMS_Arrival_Time
Alabama,28,2,2015,7,33.06118056,-87.50944444,Clear,3,0.009722222,1,3.01
Alabama,5,3,2015,5,30.56744167,-87.66604722,Cloudy,15,0.0025,0,15
Alabama,6,3,2015,6,34.78616389,-87.69790833,Clear,5,0,1,5
Alabama,9,3,2015,2,31.769225,-88.18656944,Rain,23,0.008888889,1,23.01
Alabama,13,3,2015,6,33.82046667,-86.80819444,Rain,0,0.016111111,1,0.02
Alabama,13,3,2015,6,33.76190556,-86.04343056,Rain,19,0.015277778,0,19.02
Alabama,14,3,2015,7,32.93260278,-85.39525833,"Fog, smog, smoke",10,0.002777778,0,10
Alabama,14,3,2015,7,33.09906389,-86.01120278,Cloudy,16,0.015,0,16.02
Alabama,16,3,2015,2,33.25796389,-87.8056,Clear,23,0.007222222,1,23.01
Alabama,21,3,2015,7,33.98633611,-87.85301389,Clear,2,0,0,2
Alabama,4,4,2015,7,33.687975,-86.83011389,Clear,NA,NA,0,NA
Alabama,1,4,2015,4,30.66108056,-87.87046944,Clear,23,0.001388889,1,23
Alabama,27,3,2015,6,33.900625,-87.46942778,Cloudy,23,0.015555556,0,23.02
Alabama,14,3,2015,7,31.26938889,-87.21400556,Clear,21,0.006944444,0,21.01
Alabama,11,3,2015,4,31.00395,-87.67861667,Cloudy,19,0.013888889,0,19.01
Alabama,8,3,2015,1,34.56162222,-86.97040556,Clear,4,0.012777778,1,4.01
Alabama,1,3,2015,1,33.26156389,-87.70531111,Cloudy,20,0.005555556,0,20.01
Alabama,3,3,2015,3,33.84600556,-86.27015,Cloudy,13,0.008888889,0,13.01
Alabama,8,3,2015,1,32.54603889,-86.18844444,Clear,14,0.008333333,0,14.01
Alabama,10,3,2015,3,32.50412778,-86.57332778,Cloudy,11,0.015277778,0,11.02
Alabama,16,3,2015,2,34.22031111,-86.82949444,Clear,8,0.001944444,0,8
Alabama,16,3,2015,2,34.67851667,-86.74731667,Clear,10,0.0025,0,10
Alabama,17,3,2015,3,32.26903333,-85.01148611,Clear,15,0.005277778,0,15.01
Alabama,19,3,2015,5,31.31268333,-85.92972222,Clear,12,0.004722222,0,12
Alabama,20,3,2015,6,31.48936944,-85.91373056,Cloudy,21,0.015555556,0,21.02
Alabama,20,3,2015,6,32.65625,-87.87543889,Clear,NA,NA,0,NA
Alabama,24,3,2015,3,34.49746111,-85.85248056,Clear,7,0.004444444,0,7
Alabama,24,3,2015,3,30.69029167,-88.02360278,Cloudy,8,0.0075,0,8.01
Alabama,24,3,2015,3,34.004025,-87.74586944,Clear,NA,NA,0,NA
Alabama,26,3,2015,5,34.72875556,-86.75015278,Clear,4,0.011944444,0,4.01
Alabama,26,3,2015,5,31.00971111,-88.15887222,Cloudy,8,0.014722222,0,8.01
Alabama,27,3,2015,6,34.05098889,-86.18392778,Cloudy,23,0.012777778,0,23.01
Alabama,27,3,2015,6,33.650575,-85.74323889,Cloudy,21,0.016111111,1,21.02
Alabama,28,3,2015,7,33.48036667,-87.59326389,Clear,5,0,1,5
Alabama,30,3,2015,2,33.47045,-86.87328889,Clear,19,0.0075,0,19.01
Alabama,3,4,2015,6,33.90453611,-86.02566667,Clear,19,0.014444444,0,19.01
Alabama,3,4,2015,6,34.21063056,-86.88754444,Cloudy,11,0.010833333,0,11.01
Alabama,4,4,2015,7,33.32356944,-86.61827778,Clear,18,0.009166667,1,18.01
Alabama,2,4,2015,5,31.19800278,-87.31778056,Clear,16,0.014722222,0,16.01
Alabama,21,3,2015,7,31.06918889,-85.26763889,Clear,21,0.004722222,1,21
Alabama,23,3,2015,2,32.32344444,-86.23832778,Clear,0,0.012222222,2,0.01
Alabama,24,3,2015,3,32.36861667,-86.35498056,Clear,20,0.004166667,1,20
Alabama,24,3,2015,3,33.996975,-86.09063611,Clear,20,0.001388889,0,20
Alabama,28,3,2015,7,34.47056667,-85.78625,Clear,20,0.001944444,1,20
Alabama,1,4,2015,4,31.90763611,-87.81741111,Clear,17,0,0,17
Alabama,3,4,2015,6,34.91848333,-85.64063611,Clear,9,0.004722222,0,9
Alabama,3,4,2015,6,34.87791389,-87.71029444,Cloudy,19,0.005,1,19
Alabama,5,4,2015,1,34.63410278,-85.93313056,Clear,11,0.015277778,0,11.02
Alabama,4,4,2015,7,32.26690278,-85.95272222,Clear,17,0.008055556,1,17.01
